vol,ask,bid,open,close,high,low,start,end
1159444,138448,138432.5,4766.5,4809.25,4828.5,4761,2023-12-13 08:30:00,2023-12-13 15:30:00
1422595,140357.25,140343,4837.25,4832.75,4856,4810.5,2023-12-14 08:30:00,2023-12-14 15:30:00
1113068,140213.75,140199.5,4846.25,4831.75,4849,4821.5,2023-12-15 08:30:00,2023-12-15 15:30:00
754368,140809.75,140795.25,4844,4864,4866.5,4842,2023-12-18 08:30:00,2023-12-18 15:30:00
767909,141361.75,141347.25,4867.75,4878.25,4881.25,4860.75,2023-12-19 08:30:00,2023-12-19 15:30:00
1092904,141563.5,141548.5,4874.75,4827.75,4895,4825.25,2023-12-20 08:30:00,2023-12-20 15:30:00
1187281,140370.5,140356,4838.75,4851,4859,4819.75,2023-12-21 08:30:00,2023-12-21 15:30:00
947172,141334,141319.5,4861,4872,4886,4849,2023-12-22 08:30:00,2023-12-22 15:30:00
397474,141590.5,141576.25,4873.5,4894.75,4898.75,4872,2023-12-26 08:30:00,2023-12-26 15:30:00
666027,141798.5,141784.25,4890.5,4888.25,4899.25,4880.75,2023-12-27 08:30:00,2023-12-27 15:30:00
581503,142076.75,142062.5,4897.5,4897.75,4904,4892.75,2023-12-28 08:30:00,2023-12-28 15:30:00
760287,141601.5,141586.75,4894.25,4886.25,4899.25,4861,2023-12-29 08:30:00,2023-12-29 15:30:00
1105921,140575.5,140561,4842.75,4834,4861.75,4829.75,2024-01-02 08:30:00,2024-01-02 15:30:00
1203142,139913.25,139898.75,4832.5,4816,4837,4810.75,2024-01-03 08:30:00,2024-01-03 15:30:00
927933,139615.5,139601,4813.25,4803.25,4830.75,4801.25,2024-01-04 08:30:00,2024-01-04 15:30:00
1325624,139209.5,139194.5,4782.75,4789,4824.5,4766.25,2024-01-05 08:30:00,2024-01-05 15:30:00
895490,139945.75,139930.75,4799,4856.75,4860.25,4797,2024-01-08 08:30:00,2024-01-08 15:30:00
937591,140678.5,140664,4847.5,4856.5,4868.25,4831.75,2024-01-09 08:30:00,2024-01-09 15:30:00
923622,141225.75,141211.25,4858.75,4880.5,4892.75,4852,2024-01-10 08:30:00,2024-01-10 15:30:00
1446508,141138,141123.25,4892,4874.25,4901.25,4837,2024-01-11 08:30:00,2024-01-11 15:30:00
1069921,141501.75,141487.25,4866.25,4876.25,4900.75,4863,2024-01-12 08:30:00,2024-01-12 15:30:00
52503,92650.5,92641,4871.25,4876.5,4877.75,4871,2024-01-15 08:30:00,2024-01-15 18:15:00
1291043,140991,140976.5,4863,4853.75,4880,4843.75,2024-01-16 08:30:00,2024-01-16 15:30:00
1178015,140062.75,140048.25,4843.5,4821,4844,4810.5,2024-01-17 08:30:00,2024-01-17 15:30:00
1244344,140736.25,140722,4854.75,4874.75,4874.75,4834.25,2024-01-18 08:30:00,2024-01-18 15:30:00
1315309,142281,142266.5,4904.75,4932.25,4938.5,4879.25,2024-01-19 08:30:00,2024-01-19 15:30:00
919141,143541.75,143527.25,4952.5,4951.25,4962.5,4937.75,2024-01-22 08:30:00,2024-01-22 15:30:00
736242,143500.75,143486.5,4949,4956.5,4960.25,4938.5,2024-01-23 08:30:00,2024-01-23 15:30:00
1112567,144582,144567.5,4986.75,4964.25,4997.5,4963.25,2024-01-24 08:30:00,2024-01-24 15:30:00
1107175,144320.25,144305.75,4963,4972.75,4990.75,4959.75,2024-01-25 08:30:00,2024-01-25 15:30:00
950845,144587,144572.5,4985.5,4981.5,4998.5,4971.75,2024-01-26 08:30:00,2024-01-26 15:30:00
760788,144625.25,144610.75,4983,5015.25,5020.25,4977,2024-01-29 08:30:00,2024-01-29 15:30:00
751808,145389.5,145375,5007.25,5019,5021.5,5005,2024-01-30 08:30:00,2024-01-30 15:30:00
1565428,144366,144352,4993,4950.5,5001.25,4940,2024-01-31 08:30:00,2024-01-31 15:30:00
1280029,143919,143904.5,4951,4988.25,4991.25,4938.75,2024-02-01 08:30:00,2024-02-01 15:30:00
1431265,145842.75,145826.75,5025.5,5060.5,5062,4990,2024-02-02 08:30:00,2024-02-02 15:30:00
1034725,145798.75,145784,5037.25,5036.75,5041.75,5002,2024-02-05 08:30:00,2024-02-05 15:30:00
932848,145845,145830.5,5029.5,5030.5,5042.5,5019.25,2024-02-06 08:30:00,2024-02-06 15:30:00
975675,147052,147037.75,5052,5080.5,5084.25,5050.75,2024-02-07 08:30:00,2024-02-07 15:30:00
